reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replayContent,repliedAt
4f4e0ef1-7b88-484e-a271-cf4cb83ac771,michael yohanes,https://play-lh.googleusercontent.com/a-/ALV-UjX0n7MFU_MluU3YTkYxjbQav3WYhTGJKA5fTEanCT8BGqfzE7jE,"Worst ecomm in Indonesia, Totally rubbish for its internal coordination. I've tried it once and instantly regret it. Made a purchase and fully paid. Ready to pick since Apr 30th, waited for 4days and item wasn't picked by JNE from seller yet. Sent some complaints to blibli, but didn't got any solution. Poor internal coordination and even til now they stilll not giving any resolution, refund or even courier pickup rescheduling. Edit 1: the reply is an example of ignored ""sent some complaints""",1,4,11.1.0,5/4/2024 13:34,"Halo michael we are very sorry about the inconvenience you experienced at Blibli. We would love to hear more about how we can serve you better. Please kindly reach our 24/7 customer service on 08041871871, email customer.care@blibli.com, Facebook Blibli.com, X @BlibliCare or Live Chat. Stay safe and stay healthy! - Amir",5/5/2024 5:00
3beee8df-d740-45a1-aa21-5094cd50aac9,Okta Utama Yuniar,https://play-lh.googleusercontent.com/a-/ALV-UjUYoPPhgxB4te7w90hBlSfXlxV2sVjUmbvRHosenOygAYvWUaZY,"The application is getting worse, every time you want to review a product by attaching any image, the application will immediately restart and force-closed, so we need to repeat the process from the beginning. Please fix it.",1,14,11.0.0,3/21/2024 21:36,"Hi Okta Utama Yuniar We are deeply sorry about the apps issues. To help us making changes so we can serve you better, please kindly reach our 24/7 customer service on 08041871871, email customer.care@blibli.com, Facebook Blibli.com, X @BlibliCare or Live Chat. Stay safe and stay healthy! - Stefan",3/23/2024 12:10
87abdc55-e858-4f7e-a18d-1521e9bd9d52,John Beast,https://play-lh.googleusercontent.com/a-/ALV-UjWH6tlJwm8ZhvzOdvj6ATkGMwBjIJ5Wb6k82bScSGKy_YjdahjQ,"I have successfully delete my blibli account that I had more than 10 years via blibli iOS version! Unfortunately they still need 90 days to process it which is very shame for it. None of their voucher make me interested to go back again,they even didn't return my retur shipping fee for years as consumer!If e-commerce doesn't have good low shipping fee and low term for using free shipping fee as well plus less products varieties and higher price compare to other it's hard to gain user loyalty.Bye",1,8,,3/21/2024 1:33,"Hi John We apologize for giving you the unpleasant experience. We would love to hear more about how we can serve you better. Please kindly reach our 24/7 customer service on 08041871871, email customer.care@blibli.com, Facebook Blibli.com, Twitter @BlibliCare or Live Chat. Stay safe and stay healthy!  - Voni
",3/21/2024 7:12
3e8f388d-b33c-4ea5-add3-e6508289d165,Andrew Store,https://play-lh.googleusercontent.com/a-/ALV-UjXV2B0nzA4mHviIYDuwseZxdf5QgnPyaEBmg4F2U_Hxu3lBCp4,simple and best application for online shopping.,5,2,11.1.0,5/5/2024 22:57,"Hi Andrew Thank you so much for your amazing review! We will share this with the team to let them know to keep up the amazing work. For any further information, please contact our 24/7 customer service on 08041871871, email customer.care@blibli.com, Facebook Blibli.com, X @BlibliCare or Live Chat. Have a nice day! - Amir",5/6/2024 4:38
1a7244f3-ef49-4152-b3fb-9816854d4b53,Black Rose,https://play-lh.googleusercontent.com/a-/ALV-UjX9OyKvzZlR-O5VMztr-EcrojYa-hhbkzNAmol0212pnREkrY0,"Superb 👍👍. Original products, super fast shipping and shipping fee mostly free. I love Blibli",5,2,11.0.0,3/19/2024 11:00,"Hi Black Rose Thank you so much for your amazing review! We will share this with the team to let them know to keep up the amazing work. For any further information, please contact our 24/7 customer service on 08041871871, email customer.care@blibli.com, Facebook Blibli.com, X @BlibliCare or Live Chat. Have a nice day! - Hanaya",3/19/2024 11:33
16972b56-87f0-4741-80ea-663af0319af1,Ian “Crow” Cooper,https://play-lh.googleusercontent.com/a-/ALV-UjVwQhsP2FRZ-OsKGycE-KFQMyxZU0qbZ-BYmrcu25-RplEy_-4,Can't pay for goods. They don't understand whatsapp questions. Take forever for refunds. Live chat is helpful.,3,1,11.0.0,4/3/2024 19:00,"Hi Ian We are deeply sorry about the problems. We take our customer's concerns seriously and will have this looked into. To help us making changes so we can serve you better, please kindly reach our 24/7 customer service on 08041871871, email customer.care@blibli.com, Facebook Blibli.com, X @BlibliCare or Live Chat. Stay healthy! - Hanaya",4/4/2024 1:12
111e5123-2069-40cd-9e6d-2260a1a58fe7,Melisa Wijaya,https://play-lh.googleusercontent.com/a/ACg8ocKy_6L_QjRKutYF--71YNbJ5kSojeMXmxrnmC1k4MAtP33J0g=mo,great prices and offer many discounts. wish could get more free shipping fee,4,,11.0.0,3/18/2024 16:40,"Hi Melisa Wijaya Thank you so much for your amazing review! We will share this with the team to let them know to keep up the amazing work. For any further information, please contact our 24/7 customer service on 08041871871, email customer.care@blibli.com, Facebook Blibli.com, Twitter @BlibliCare or Live Chat. Have a nice day! - Vega",3/18/2024 16:49
7f99bccc-d32e-4eb7-974f-d6db0b6cc90b,Kurniawan S,https://play-lh.googleusercontent.com/a-/ALV-UjVz8q4IfS2POtcwT8yKPLmgc7KCkIqL8FhQfkfVh2WmrMHoV2nw,"original quality, good services, easy to use apps",5,3,11.0.0,4/5/2024 9:50,"Thank you for your awesome comment and your five stars. If you need help, please touch us via call 08041871871, Live Chat, email customer.care@blibli.com, or our Social Media. Happy Shopping^^ / Dhea",4/5/2024 14:44
a6149e1e-f6f7-480e-aa73-d253886b8a35,Sulthoni Almas,https://play-lh.googleusercontent.com/a-/ALV-UjVUSg8KF7oix0N6HhqbrVm9n4_tL1_CFBCl5puI8cnhIdztKmaf,"Advertisement on G-ads really annoying. I don't care with ur app, just ur ads. Always have bug, so I can't close that ads like other ads.",1,14,10.7.0,12/15/2023 8:50,"Hi Sulthoni Almas we are very sorry about the Adds. We would love to hear more about how we can serve you better. Please kindly reach our 24/7 customer service on 08041871871, email customer.care@blibli.com, Facebook Blibli.com, Twitter @BlibliCare or Live Chat. Stay safe and stay healthy! - Gio",12/16/2023 1:33
2c70521b-d05f-4332-88a4-38fa5bdd021a,A K,https://play-lh.googleusercontent.com/a/ACg8ocI_ET4xgyxT6IqHt4FORzDs-PNEo8PbdgmcGN1dxNhlRKeRaj-o=mo,"The worst product delivery ever. Very careful when preorder product from this app, they deliberately hold your product despite it is readily available in stores.",1,13,10.9.1,2/29/2024 18:51,"Hi A K We are deeply sorry about the delivery. We take our customer's concerns seriously and will have this looked into. To help us making changes so we can serve you better, please kindly reach our 24/7 customer service on 08041871871, email customer.care@blibli.com, Facebook Blibli.com, X @BlibliCare or Live Chat. Stay healthy! - Hanaya",2/29/2024 21:07
c75bf57b-c310-4ae8-b3d4-53e82972da25,Ahmad Syafrudin,https://play-lh.googleusercontent.com/a-/ALV-UjUEFUkb4G1a9h_EXgEjnwENETtv3-lhwndLt9DF1e953e57HH31,Bad experience. Bad After sales service. Buying a branded 4K TV in BliBli after 25 days the TV already broken. No protection for the customer. I must keep the box trash for a month if I want a warranty claim. Really Good job 🫡,1,37,10.8.1,1/25/2024 7:27,"Hi ^^ Really sorry for the unpleasant shopping experience :( this will be our feedback to make it better to customers. So that we can help further, please call 0804 1 871 871 or email to customer.care@blibli.com or our Live Chat. Shopping ^^ / Dhea",1/25/2024 14:28
0ef05699-a2ba-4ef3-bd33-88e6987b80c0,Cesar Junior,https://play-lh.googleusercontent.com/a-/ALV-UjWwSAwLPf8qGKaG-PynJ0A4BFwlCXQUMU-kWYTCF-Fb1NwDLrw,Amazing App You Got there . . . Bli Bli Developer. keep the good work and amazing stuff. and keep the improvement of the app like/ such as upgrading update and improvements fiture of your app. hope we can enjoy the bright future of the nice life and good life and nice applications approaching. thanks a lot BliBli. keep Spirit and have a nice day 😆😂🤣🙇🙏😁😁,5,10,10.9.1,3/1/2024 20:13,"Hi Cesar Thank you so much for your amazing review! We will share this with the team to let them know to keep up the amazing work. For any further information, please contact our 24/7 customer service on 08041871871, email customer.care@blibli.com, Facebook Blibli.com, X @BlibliCare or Live Chat. Have a nice day! - Hanaya",3/1/2024 23:35
c5462e36-5925-4448-9fed-0da41558407f,Wijaya Bayu Murti,https://play-lh.googleusercontent.com/a-/ALV-UjURbAVqpBY01n5fjiLkQ5uExxAO670_RZ3vHMjUeuH0vI6nr_id,"video ads by some company app, with scamming error i cannot exit the ads, and force me to restart my app and its always the blibli video ads...now i have the time to rate you",1,2,10.7.0,12/15/2023 6:00,"Hi Wijaya Bayu Murti we are very sorry about the Adds. We would love to hear more about how we can serve you better. Please kindly reach our 24/7 customer service on 08041871871, email customer.care@blibli.com, Facebook Blibli.com, Twitter @BlibliCare or Live Chat. Stay safe and stay healthy! - Gio",12/16/2023 1:40
